filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
xa.s16.00.mhz.1972-09-10HR00_evid00075,1972-09-10T13:04:54.714623,47094.339622641506
xa.s16.00.mhz.1972-11-06HR00_evid00079,1972-11-06T04:31:42.390792,16301.88679245283
xa.s16.00.mhz.1972-11-08HR00_evid00080,1972-11-08T18:47:03.140509,67622.64150943396
xa.s16.00.mhz.1973-07-31HR00_evid00123,1973-07-31T09:58:45.056302,35924.52830188679
xa.s16.00.mhz.1974-05-19HR00_evid00146,1974-05-19T19:22:16.452057,69735.84905660378
xa.s16.00.mhz.1974-11-11HR00_evid00160,1974-11-11T17:03:54.450264,61433.96226415094
xa.s16.00.mhz.1974-12-12HR02_evid00168,1974-12-12T17:51:14.400573,56150.943396226416
xa.s16.00.mhz.1974-12-15HR00_evid00172,1974-12-15T09:15:59.009566,33358.49056603773
xa.s16.00.mhz.1974-12-25HR00_evid00174,1974-12-25T21:28:03.520868,77283.01886792453
xa.s16.00.mhz.1975-02-19HR00_evid00180,1975-02-19T23:13:43.197509,83622.64150943396
xa.s16.00.mhz.1975-03-26HR00_evid00186,1975-03-26T02:16:57.952821,8000.0
xa.s16.00.mhz.1977-04-17HR00_evid00249,1977-04-17T23:41:23.421868,85283.01886792453
