# Samples, Amplitude
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.281992489845852113e-04
2.000000000000000000e+00,7.034487772711196102e-04
3.000000000000000000e+00,1.124031943297798325e-03
4.000000000000000000e+00,3.984772673088105358e-03
5.000000000000000000e+00,2.618626166103905353e-04
6.000000000000000000e+00,7.595624159400270366e-03
7.000000000000000000e+00,8.470635304878508520e-03
8.000000000000000000e+00,9.882582308576779145e-04
9.000000000000000000e+00,3.411315669131433775e-02
1.000000000000000000e+01,3.066711689374445118e-02
1.100000000000000000e+01,1.228524832513511363e-02
1.200000000000000000e+01,6.135478831346773132e-02
1.300000000000000000e+01,3.411387670561113333e-02
1.400000000000000000e+01,8.713614292386109850e-03
1.500000000000000000e+01,4.436960787730404726e-02
1.600000000000000000e+01,6.527818347217145996e-03
1.700000000000000000e+01,3.082617422951713579e-02
1.800000000000000000e+01,9.848660445661452587e-03
1.900000000000000000e+01,9.576942666764626244e-02
2.000000000000000000e+01,3.739712123832263785e-02
2.100000000000000000e+01,1.175175690992437405e-02
2.200000000000000000e+01,7.749774849708875035e-02
2.300000000000000000e+01,1.624686060355784792e-02
2.400000000000000000e+01,1.523133034596764190e-01
2.500000000000000000e+01,1.325172333524300139e-01
2.600000000000000000e+01,8.857179399471058756e-02
2.700000000000000000e+01,1.442110920236922833e-01
2.800000000000000000e+01,2.635099005026961261e-01
2.900000000000000000e+01,1.904984925986109301e-01
3.000000000000000000e+01,5.775480338947307224e-02
3.100000000000000000e+01,2.269230742988886107e-01
3.200000000000000000e+01,2.613596416495587160e-01
3.300000000000000000e+01,3.851787460347087105e-02
3.400000000000000000e+01,2.841241544565505373e-01
3.500000000000000000e+01,1.085610609967543050e-01
3.600000000000000000e+01,1.470713233961893143e-02
3.700000000000000000e+01,6.931357170913750310e-02
3.800000000000000000e+01,2.637399717719262071e-01
3.900000000000000000e+01,2.075448238747443219e-01
4.000000000000000000e+01,2.031666007688221476e-01
4.100000000000000000e+01,4.506161617323337087e-01
4.200000000000000000e+01,3.610764000134854268e-02
4.300000000000000000e+01,3.406412453385203043e-01
4.400000000000000000e+01,1.222733223577611578e-01
4.500000000000000000e+01,4.103868863234872572e-02
4.600000000000000000e+01,3.296838666683052921e-01
4.700000000000000000e+01,1.866712367443837672e-01
4.800000000000000000e+01,5.892532848525768863e-01
4.900000000000000000e+01,6.255380874311244899e-01
5.000000000000000000e+01,2.591900024368400945e-01
5.100000000000000000e+01,5.294098972816303483e-01
5.200000000000000000e+01,3.320013486509609257e-01
5.300000000000000000e+01,1.888724172640073584e-01
5.400000000000000000e+01,2.197549329334428647e-01
5.500000000000000000e+01,5.442362985808101294e-01
5.600000000000000000e+01,1.058872843981760875e-01
5.700000000000000000e+01,9.241463095913083903e-01
5.800000000000000000e+01,6.534643500306491770e-01
5.900000000000000000e+01,1.207289856919115278e+00
6.000000000000000000e+01,3.767960233619423449e-01
6.100000000000000000e+01,7.069356747526767126e-01
6.200000000000000000e+01,5.840314696141518658e-01
6.300000000000000000e+01,5.079876892139414402e-01
6.400000000000000000e+01,3.301740163325407873e-01
6.500000000000000000e+01,5.811393527580533958e-01
6.600000000000000000e+01,1.037855568159815889e-01
6.700000000000000000e+01,3.837701854294497950e-01
6.800000000000000000e+01,5.926971512208736304e-01
6.900000000000000000e+01,9.938186017083754376e-01
7.000000000000000000e+01,1.301388970469412598e+00
7.100000000000000000e+01,2.648098823470887986e-01
7.200000000000000000e+01,1.033312599430663781e+00
7.300000000000000000e+01,9.362144101566602927e-01
7.400000000000000000e+01,8.067110845515560458e-01
7.500000000000000000e+01,9.618682890326298862e-01
7.600000000000000000e+01,9.242849007155544694e-01
7.700000000000000000e+01,7.519265695170267438e-01
7.800000000000000000e+01,2.245931793338029059e-01
7.900000000000000000e+01,2.594220207429665526e-01
8.000000000000000000e+01,9.728976406589269488e-02
8.100000000000000000e+01,4.576759297125591042e-01
8.200000000000000000e+01,2.462336853413327753e-01
8.300000000000000000e+01,5.612759096552076832e-01
8.400000000000000000e+01,9.063110361634749146e-03
8.500000000000000000e+01,2.288846590685489901e-01
8.600000000000000000e+01,1.545470601538733391e+00
8.700000000000000000e+01,2.224147312694123357e+00
8.800000000000000000e+01,1.216697179824443031e+00
8.900000000000000000e+01,6.846832815302051900e-01
9.000000000000000000e+01,8.531356960060915151e-01
9.100000000000000000e+01,1.028505363175415299e+00
9.200000000000000000e+01,4.232278437411818861e-01
9.300000000000000000e+01,1.060686040703766458e-01
9.400000000000000000e+01,1.098166929013798088e+00
9.500000000000000000e+01,9.162033815974829354e-01
9.600000000000000000e+01,4.579129815439507700e-01
9.700000000000000000e+01,6.859567313704822977e-02
9.800000000000000000e+01,1.243091528370216414e+00
9.900000000000000000e+01,2.409826888534302713e-02
1.000000000000000000e+02,3.265174460591783845e+00
1.010000000000000000e+02,3.999727960389304116e+00
1.020000000000000000e+02,3.654427111013951457e-01
1.030000000000000000e+02,4.714158841296665625e-01
1.040000000000000000e+02,1.752858538450205783e+00
1.050000000000000000e+02,2.874040697350269680e-01
1.060000000000000000e+02,3.183119828010180896e+00
